hala_sifra,hala_naziv,polica_sifra,polica_naziv
HALA 1,Hala 1-magacin,A1,Magacin
HALA 1,Hala 1-magacin,A10,Magacin
HALA 1,Hala 1-magacin,A11,Magacin
HALA 1,Hala 1-magacin,A12,Magacin
HALA 1,Hala 1-magacin,A13,Magacin
HALA 1,Hala 1-magacin,A14,Magacin
HALA 1,Hala 1-magacin,A15,Magacin
HALA 1,Hala 1-magacin,A16,Magacin
HALA 1,Hala 1-magacin,A17,Magacin
HALA 1,Hala 1-magacin,A18,Magacin
HALA 1,Hala 1-magacin,A19,Magacin
HALA 1,Hala 1-magacin,A2,Magacin
HALA 1,Hala 1-magacin,A20,Magacin
HALA 1,Hala 1-magacin,A21,Magacin
HALA 1,Hala 1-magacin,A22,Magacin
HALA 1,Hala 1-magacin,A23,Magacin
HALA 1,Hala 1-magacin,A24,Magacin
HALA 1,Hala 1-magacin,A25,Magacin
HALA 1,Hala 1-magacin,A26,Magacin
HALA 1,Hala 1-magacin,A27,Magacin
HALA 1,Hala 1-magacin,A28,Magacin
HALA 1,Hala 1-magacin,A29,Magacin
HALA 1,Hala 1-magacin,A3,Magacin
HALA 1,Hala 1-magacin,A30,Magacin
HALA 1,Hala 1-magacin,A31,Magacin
HALA 1,Hala 1-magacin,A32,Magacin
HALA 1,Hala 1-magacin,A33,Magacin
HALA 1,Hala 1-magacin,A34,Magacin
HALA 1,Hala 1-magacin,A35,Magacin
HALA 1,Hala 1-magacin,A36,Magacin
HALA 1,Hala 1-magacin,A37,Magacin
HALA 1,Hala 1-magacin,A38,Magacin
HALA 1,Hala 1-magacin,A39,Magacin
HALA 1,Hala 1-magacin,A4,Magacin
HALA 1,Hala 1-magacin,A40,Magacin
HALA 1,Hala 1-magacin,A41,Magacin
HALA 1,Hala 1-magacin,A42,Magacin
HALA 1,Hala 1-magacin,A43,Magacin
HALA 1,Hala 1-magacin,A44,Magacin
HALA 1,Hala 1-magacin,A45,Magacin
HALA 1,Hala 1-magacin,A46,Magacin
HALA 1,Hala 1-magacin,A47,Magacin
HALA 1,Hala 1-magacin,A48,Magacin
HALA 1,Hala 1-magacin,A49,Magacin
HALA 1,Hala 1-magacin,A5,Magacin
HALA 1,Hala 1-magacin,A50,Magacin
HALA 1,Hala 1-magacin,A6,Magacin
HALA 1,Hala 1-magacin,A7,Magacin
HALA 1,Hala 1-magacin,A8,Magacin
HALA 1,Hala 1-magacin,A9,Magacin
HALA 1,Hala 1-magacin,B1,delovi bezveze
HALA 1,Hala 1-magacin,B10,Magacin
HALA 1,Hala 1-magacin,B11,Magacin
HALA 1,Hala 1-magacin,B12,Magacin
HALA 1,Hala 1-magacin,B13,Magacin
HALA 1,Hala 1-magacin,B14,Magacin
HALA 1,Hala 1-magacin,B15,Magacin
HALA 1,Hala 1-magacin,B16,Magacin
HALA 1,Hala 1-magacin,B17,Magacin
HALA 1,Hala 1-magacin,B18,Magacin
HALA 1,Hala 1-magacin,B19,Magacin
HALA 1,Hala 1-magacin,B2,Magacin
HALA 1,Hala 1-magacin,B20,Magacin
HALA 1,Hala 1-magacin,B21,Magacin
HALA 1,Hala 1-magacin,B22,Magacin
HALA 1,Hala 1-magacin,B23,Magacin
HALA 1,Hala 1-magacin,B24,Magacin
HALA 1,Hala 1-magacin,B25,Magacin
HALA 1,Hala 1-magacin,B26,Magacin
HALA 1,Hala 1-magacin,B27,Magacin
HALA 1,Hala 1-magacin,B28,Magacin
HALA 1,Hala 1-magacin,B29,Magacin
HALA 1,Hala 1-magacin,B3,Magacin
HALA 1,Hala 1-magacin,B30,Magacin
HALA 1,Hala 1-magacin,B31,Magacin
HALA 1,Hala 1-magacin,B32,Magacin
HALA 1,Hala 1-magacin,B33,Magacin
HALA 1,Hala 1-magacin,B34,Magacin
HALA 1,Hala 1-magacin,B35,Magacin
HALA 1,Hala 1-magacin,B36,Magacin
HALA 1,Hala 1-magacin,B37,Magacin
HALA 1,Hala 1-magacin,B38,Magacin
HALA 1,Hala 1-magacin,B39,Magacin
HALA 1,Hala 1-magacin,B4,Magacin
HALA 1,Hala 1-magacin,B40,Magacin
HALA 1,Hala 1-magacin,B41,Magacin
HALA 1,Hala 1-magacin,B42,Magacin
HALA 1,Hala 1-magacin,B43,Magacin
HALA 1,Hala 1-magacin,B44,Magacin
HALA 1,Hala 1-magacin,B45,Magacin
HALA 1,Hala 1-magacin,B46,Magacin
HALA 1,Hala 1-magacin,B47,Magacin
HALA 1,Hala 1-magacin,B48,Magacin
HALA 1,Hala 1-magacin,B49,Magacin
HALA 1,Hala 1-magacin,B5,Magacin
HALA 1,Hala 1-magacin,B50,Magacin
HALA 1,Hala 1-magacin,B6,Magacin
HALA 1,Hala 1-magacin,B7,Magacin
HALA 1,Hala 1-magacin,B8,Magacin
HALA 1,Hala 1-magacin,B9,Magacin
HALA 1,Hala 1-magacin,C1,Magacin
HALA 1,Hala 1-magacin,C10,Magacin
HALA 1,Hala 1-magacin,C11,Magacin
HALA 1,Hala 1-magacin,C12,Magacin
HALA 1,Hala 1-magacin,C13,Magacin
HALA 1,Hala 1-magacin,C14,Magacin
HALA 1,Hala 1-magacin,C15,Magacin
HALA 1,Hala 1-magacin,C16,Magacin
HALA 1,Hala 1-magacin,C17,Magacin
HALA 1,Hala 1-magacin,C18,Magacin
HALA 1,Hala 1-magacin,C19,Magacin
HALA 1,Hala 1-magacin,C2,Magacin
HALA 1,Hala 1-magacin,C20,Magacin
HALA 1,Hala 1-magacin,C21,Magacin
HALA 1,Hala 1-magacin,C22,Magacin
HALA 1,Hala 1-magacin,C23,Magacin
HALA 1,Hala 1-magacin,C24,Magacin
HALA 1,Hala 1-magacin,C25,Magacin
HALA 1,Hala 1-magacin,C26,Magacin
HALA 1,Hala 1-magacin,C27,Magacin
HALA 1,Hala 1-magacin,C28,Magacin
HALA 1,Hala 1-magacin,C29,Magacin
HALA 1,Hala 1-magacin,C3,Magacin
HALA 1,Hala 1-magacin,C30,Magacin
HALA 1,Hala 1-magacin,C31,Magacin
HALA 1,Hala 1-magacin,C32,Magacin
HALA 1,Hala 1-magacin,C33,Magacin
HALA 1,Hala 1-magacin,C34,Magacin
HALA 1,Hala 1-magacin,C35,Magacin
HALA 1,Hala 1-magacin,C36,Magacin
HALA 1,Hala 1-magacin,C37,Magacin
HALA 1,Hala 1-magacin,C38,Magacin
HALA 1,Hala 1-magacin,C39,Magacin
HALA 1,Hala 1-magacin,C4,Magacin
HALA 1,Hala 1-magacin,C40,Magacin
HALA 1,Hala 1-magacin,C41,Magacin
HALA 1,Hala 1-magacin,C42,Magacin
HALA 1,Hala 1-magacin,C43,Magacin
HALA 1,Hala 1-magacin,C44,Magacin
HALA 1,Hala 1-magacin,C45,Magacin
HALA 1,Hala 1-magacin,C46,Magacin
HALA 1,Hala 1-magacin,C47,Magacin
HALA 1,Hala 1-magacin,C48,Magacin
HALA 1,Hala 1-magacin,C49,Magacin
HALA 1,Hala 1-magacin,C5,Magacin
HALA 1,Hala 1-magacin,C50,Magacin
HALA 1,Hala 1-magacin,C6,Magacin
HALA 1,Hala 1-magacin,C7,Magacin
HALA 1,Hala 1-magacin,C8,Magacin
HALA 1,Hala 1-magacin,C9,Magacin
HALA 1,Hala 1-magacin,D1,Magacin
HALA 1,Hala 1-magacin,D10,Magacin
HALA 1,Hala 1-magacin,D11,Magacin
HALA 1,Hala 1-magacin,D12,Magacin
HALA 1,Hala 1-magacin,D13,Magacin
HALA 1,Hala 1-magacin,D14,Magacin
HALA 1,Hala 1-magacin,D15,Magacin
HALA 1,Hala 1-magacin,D16,Magacin
HALA 1,Hala 1-magacin,D17,Magacin
HALA 1,Hala 1-magacin,D18,Magacin
HALA 1,Hala 1-magacin,D19,Magacin
HALA 1,Hala 1-magacin,D2,Magacin
HALA 1,Hala 1-magacin,D20,Magacin
HALA 1,Hala 1-magacin,D21,Magacin
HALA 1,Hala 1-magacin,D22,Magacin
HALA 1,Hala 1-magacin,D23,Magacin
HALA 1,Hala 1-magacin,D24,Magacin
HALA 1,Hala 1-magacin,D25,Magacin
HALA 1,Hala 1-magacin,D26,Magacin
HALA 1,Hala 1-magacin,D27,Magacin
HALA 1,Hala 1-magacin,D28,Magacin
HALA 1,Hala 1-magacin,D29,Magacin
HALA 1,Hala 1-magacin,D3,Magacin
HALA 1,Hala 1-magacin,D30,Magacin
HALA 1,Hala 1-magacin,D31,Magacin
HALA 1,Hala 1-magacin,D32,Magacin
HALA 1,Hala 1-magacin,D33,Magacin
HALA 1,Hala 1-magacin,D34,Magacin
HALA 1,Hala 1-magacin,D35,Magacin
HALA 1,Hala 1-magacin,D36,Magacin
HALA 1,Hala 1-magacin,D37,Magacin
HALA 1,Hala 1-magacin,D38,Magacin
HALA 1,Hala 1-magacin,D39,Magacin
HALA 1,Hala 1-magacin,D4,Magacin
HALA 1,Hala 1-magacin,D40,Magacin
HALA 1,Hala 1-magacin,D41,Magacin
HALA 1,Hala 1-magacin,D42,Magacin
HALA 1,Hala 1-magacin,D43,Magacin
HALA 1,Hala 1-magacin,D44,Magacin
HALA 1,Hala 1-magacin,D45,Magacin
HALA 1,Hala 1-magacin,D46,Magacin
HALA 1,Hala 1-magacin,D47,Magacin
HALA 1,Hala 1-magacin,D48,Magacin
HALA 1,Hala 1-magacin,D49,Magacin
HALA 1,Hala 1-magacin,D5,Magacin
HALA 1,Hala 1-magacin,D50,Magacin
HALA 1,Hala 1-magacin,D6,Magacin
HALA 1,Hala 1-magacin,D7,Magacin
HALA 1,Hala 1-magacin,D8,Magacin
HALA 1,Hala 1-magacin,D9,Magacin
HALA 1,Hala 1-magacin,F1,Magacin
HALA 1,Hala 1-magacin,F10,Magacin
HALA 1,Hala 1-magacin,F11,Magacin
HALA 1,Hala 1-magacin,F12,Magacin
HALA 1,Hala 1-magacin,F13,Magacin
HALA 1,Hala 1-magacin,F14,Magacin
HALA 1,Hala 1-magacin,F15,Magacin
HALA 1,Hala 1-magacin,F16,Magacin
HALA 1,Hala 1-magacin,F17,Magacin
HALA 1,Hala 1-magacin,F18,Magacin
HALA 1,Hala 1-magacin,F19,Magacin
HALA 1,Hala 1-magacin,F2,Magacin
HALA 1,Hala 1-magacin,F20,Magacin
HALA 1,Hala 1-magacin,F21,Magacin
HALA 1,Hala 1-magacin,F22,Magacin
HALA 1,Hala 1-magacin,F23,Magacin
HALA 1,Hala 1-magacin,F24,Magacin
HALA 1,Hala 1-magacin,F25,Magacin
HALA 1,Hala 1-magacin,F26,Magacin
HALA 1,Hala 1-magacin,F27,Magacin
HALA 1,Hala 1-magacin,F28,Magacin
HALA 1,Hala 1-magacin,F29,Magacin
HALA 1,Hala 1-magacin,F3,Magacin
HALA 1,Hala 1-magacin,F30,Magacin
HALA 1,Hala 1-magacin,F31,Magacin
HALA 1,Hala 1-magacin,F32,Magacin
HALA 1,Hala 1-magacin,F33,Magacin
HALA 1,Hala 1-magacin,F34,Magacin
HALA 1,Hala 1-magacin,F35,Magacin
HALA 1,Hala 1-magacin,F36,Magacin
HALA 1,Hala 1-magacin,F37,Magacin
HALA 1,Hala 1-magacin,F38,Magacin
HALA 1,Hala 1-magacin,F39,Magacin
HALA 1,Hala 1-magacin,F4,Magacin
HALA 1,Hala 1-magacin,F40,Magacin
HALA 1,Hala 1-magacin,F41,Magacin
HALA 1,Hala 1-magacin,F42,Magacin
HALA 1,Hala 1-magacin,F43,Magacin
HALA 1,Hala 1-magacin,F44,Magacin
HALA 1,Hala 1-magacin,F45,Magacin
HALA 1,Hala 1-magacin,F46,Magacin
HALA 1,Hala 1-magacin,F47,Magacin
HALA 1,Hala 1-magacin,F48,Magacin
HALA 1,Hala 1-magacin,F49,Magacin
HALA 1,Hala 1-magacin,F5,Magacin
HALA 1,Hala 1-magacin,F50,Magacin
HALA 1,Hala 1-magacin,F6,Magacin
HALA 1,Hala 1-magacin,F7,Magacin
HALA 1,Hala 1-magacin,F8,Magacin
HALA 1,Hala 1-magacin,F9,Magacin
HALA 2A,Hala 2a-proizvodnja,A1,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A10,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A11,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A12,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A13,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A14,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A15,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A16,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A17,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A18,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A19,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A2,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A20,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A21,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A22,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A23,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A24,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A25,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A26,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A27,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A28,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A29,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A3,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A30,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A4,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A5,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A6,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A7,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A8,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,A9,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B1,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B10,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B11,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B12,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B13,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B14,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B15,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B16,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B17,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B18,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B19,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B2,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B20,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B21,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B22,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B23,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B24,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B25,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B26,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B27,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B28,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B29,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B3,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B30,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B4,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B5,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B6,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B7,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B8,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,B9,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C1,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C10,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C11,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C12,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C13,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C14,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C15,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C16,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C17,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C18,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C19,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C2,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C20,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C21,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C22,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C23,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C24,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C25,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C26,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C27,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C28,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C29,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C3,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C30,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C4,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C5,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C6,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C7,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C8,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,C9,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D1,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D10,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D11,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D12,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D13,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D14,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D15,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D16,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D17,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D18,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D19,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D2,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D20,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D21,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D22,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D23,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D24,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D25,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D26,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D27,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D28,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D29,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D3,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D30,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D4,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D5,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D6,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D7,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D8,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,D9,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,F1,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,F10,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,F11,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,F12,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,F13,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,F14,Proizvodnja
HALA 2A,Hala 2a-proizvodnja,F15,Proizvodnja
