polica_sifra,polica_naziv,tip
A1,Proizvodnja,SHELF
A1,Magacin,SHELF
A1,Proizvodnja,SHELF
A1,Magacin,SHELF
A10,Magacin,SHELF
A10,Proizvodnja,SHELF
A10,Magacin,SHELF
A11,Magacin,SHELF
A11,Proizvodnja,SHELF
A11,Magacin,SHELF
A12,Magacin,SHELF
A12,Magacin,SHELF
A12,Proizvodnja,SHELF
A13,Proizvodnja,SHELF
A13,Magacin,SHELF
A13,Magacin,SHELF
A14,Magacin,SHELF
A14,Magacin,SHELF
A14,Proizvodnja,SHELF
A15,Magacin,SHELF
A15,Magacin,SHELF
A15,Proizvodnja,SHELF
A16,Proizvodnja,SHELF
A16,Magacin,SHELF
A16,Magacin,SHELF
A17,Magacin,SHELF
A17,Magacin,SHELF
A17,Proizvodnja,SHELF
A18,Magacin,SHELF
A18,Proizvodnja,SHELF
A18,Magacin,SHELF
A19,Proizvodnja,SHELF
A19,Magacin,SHELF
A19,Magacin,SHELF
A2,Magacin,SHELF
A2,Magacin,SHELF
A2,Proizvodnja,SHELF
A2,Proizvodnja,SHELF
A20,Magacin,SHELF
A20,Proizvodnja,SHELF
A20,Magacin,SHELF
A21,Magacin,SHELF
A21,Magacin,SHELF
A21,Proizvodnja,SHELF
A22,Proizvodnja,SHELF
A22,Magacin,SHELF
A22,Magacin,SHELF
A23,Proizvodnja,SHELF
A23,Magacin,SHELF
A23,Magacin,SHELF
A24,Magacin,SHELF
A24,Proizvodnja,SHELF
A24,Magacin,SHELF
A25,Magacin,SHELF
A25,Magacin,SHELF
A25,Proizvodnja,SHELF
A26,Magacin,SHELF
A26,Magacin,SHELF
A26,Proizvodnja,SHELF
A27,Magacin,SHELF
A27,Proizvodnja,SHELF
A27,Magacin,SHELF
A28,Proizvodnja,SHELF
A28,Magacin,SHELF
A28,Magacin,SHELF
A29,Magacin,SHELF
A29,Magacin,SHELF
A29,Proizvodnja,SHELF
A3,Proizvodnja,SHELF
A3,Proizvodnja,SHELF
A3,Magacin,SHELF
A3,Magacin,SHELF
A30,Magacin,SHELF
A30,Magacin,SHELF
A30,Proizvodnja,SHELF
A31,Magacin,SHELF
A31,Magacin,SHELF
A32,Magacin,SHELF
A32,Magacin,SHELF
A33,Magacin,SHELF
A33,Magacin,SHELF
A34,Magacin,SHELF
A34,Magacin,SHELF
A35,Magacin,SHELF
A35,Magacin,SHELF
A36,Magacin,SHELF
A36,Magacin,SHELF
A37,Magacin,SHELF
A37,Magacin,SHELF
A38,Magacin,SHELF
A38,Magacin,SHELF
A39,Magacin,SHELF
A39,Magacin,SHELF
A4,Magacin,SHELF
A4,Proizvodnja,SHELF
A4,Magacin,SHELF
A4,Proizvodnja,SHELF
A40,Magacin,SHELF
A40,Magacin,SHELF
A41,Magacin,SHELF
A41,Magacin,SHELF
A42,Magacin,SHELF
A42,Magacin,SHELF
A43,Magacin,SHELF
A43,Magacin,SHELF
A44,Magacin,SHELF
A44,Magacin,SHELF
A45,Magacin,SHELF
A45,Magacin,SHELF
A46,Magacin,SHELF
A46,Magacin,SHELF
A47,Magacin,SHELF
A47,Magacin,SHELF
A48,Magacin,SHELF
A48,Magacin,SHELF
A49,Magacin,SHELF
A49,Magacin,SHELF
A5,Magacin,SHELF
A5,Proizvodnja,SHELF
A5,Proizvodnja,SHELF
A5,Magacin,SHELF
A50,Magacin,SHELF
A50,Magacin,SHELF
A51,Magacin,SHELF
A52,Magacin,SHELF
A53,Magacin,SHELF
A54,Magacin,SHELF
A55,Magacin,SHELF
A56,Magacin,SHELF
A57,Magacin,SHELF
A58,Magacin,SHELF
A59,Magacin,SHELF
A6,Magacin,SHELF
A6,Proizvodnja,SHELF
A6,Magacin,SHELF
A60,Magacin,SHELF
A61,Magacin,SHELF
A62,Magacin,SHELF
A63,Magacin,SHELF
A64,Magacin,SHELF
A65,Magacin,SHELF
A66,Magacin,SHELF
A67,Magacin,SHELF
A68,Magacin,SHELF
A69,Magacin,SHELF
A7,Proizvodnja,SHELF
A7,Magacin,SHELF
A7,Magacin,SHELF
A70,Magacin,SHELF
A71,Magacin,SHELF
A72,Magacin,SHELF
A73,Magacin,SHELF
A74,Magacin,SHELF
A75,Magacin,SHELF
A76,Magacin,SHELF
A77,Magacin,SHELF
A78,Magacin,SHELF
A79,Magacin,SHELF
A8,Magacin,SHELF
A8,Magacin,SHELF
A8,Proizvodnja,SHELF
A80,Magacin,SHELF
A9,Magacin,SHELF
A9,Proizvodnja,SHELF
A9,Magacin,SHELF
B1,Proizvodnja,SHELF
B1,delovi bezveze,SHELF
B1,Magacin,SHELF
B1,Proizvodnja,SHELF
B10,Magacin,SHELF
B10,Magacin,SHELF
B10,Proizvodnja,SHELF
B11,Magacin,SHELF
B11,Proizvodnja,SHELF
B11,Magacin,SHELF
B12,Proizvodnja,SHELF
B12,Magacin,SHELF
B12,Magacin,SHELF
B13,Proizvodnja,SHELF
B13,Magacin,SHELF
B13,Magacin,SHELF
B14,Magacin,SHELF
B14,Magacin,SHELF
B14,Proizvodnja,SHELF
B15,Magacin,SHELF
B15,Proizvodnja,SHELF
B15,Magacin,SHELF
B16,Magacin,SHELF
B16,Proizvodnja,SHELF
B16,Magacin,SHELF
B17,Proizvodnja,SHELF
B17,Magacin,SHELF
B17,Magacin,SHELF
B18,Proizvodnja,SHELF
B18,Magacin,SHELF
B18,Magacin,SHELF
B19,Magacin,SHELF
B19,Proizvodnja,SHELF
B19,Magacin,SHELF
